Frequency [Hz],Maximum [dBm],Minimum [dBm],,
864500000,-74.2993240356445,-89.3662033081055,,
864506349.206349,-74.2993240356445,-89.3662033081055,,
864512698.412698,-78.2767333984375,-93.8823089599609,,
864519047.619048,-74.77392578125,-92.8300552368164,,
864525396.825397,-75.5173492431641,-88.1447219848633,,
864531746.031746,-77.6022872924805,-89.8485412597656,,
864538095.238095,-78.8169403076172,-92.9330444335938,,
864544444.444444,-76.2917327880859,-91.5335388183594,,
864550793.650794,-77.4178085327148,-91.6624069213867,,
864557142.857143,-78.3493728637695,-90.3630905151367,,
864563492.063492,-77.6681671142578,-93.1934051513672,,
864569841.269841,-77.101188659668,-89.2516708374023,,
864576190.47619,-75.9734878540039,-90.7372894287109,,
864582539.68254,-77.3618621826172,-92.2098236083984,,
864588888.888889,-76.8839263916016,-94.0278778076172,,
864595238.095238,-74.3067245483398,-86.98193359375,,
864601587.301587,-75.401008605957,-90.3726425170898,,
864607936.507936,-77.8365020751953,-99.6427154541016,,
864614285.714286,-75.7017211914063,-99.9859466552734,,
864620634.920635,-72.000129699707,-91.5953521728516,,
864626984.126984,-78.5786056518555,-96.375862121582,,
864633333.333333,-76.7588729858398,-86.9141845703125,,
864639682.539683,-76.0439300537109,-83.9474487304688,,
864646031.746032,-78.217658996582,-99.9917297363281,,
864652380.952381,-76.9799423217773,-85.0825271606445,,
864658730.15873,-73.1451644897461,-92.0560455322266,,
864665079.365079,-72.4468994140625,-89.6187438964844,,
864671428.571429,-76.6606597900391,-84.0913619995117,,
864677777.777778,-75.3960266113281,-88.0789337158203,,
864684126.984127,-75.4616775512695,-90.860710144043,,
864690476.190476,-74.9464416503906,-91.6688385009766,,
864696825.396825,-73.9017791748047,-90.3416213989258,,
864703174.603175,-77.5237197875977,-101.526824951172,,
864709523.809524,-74.2326812744141,-86.0392456054688,,
864715873.015873,-75.4928894042969,-82.1591796875,,
864722222.222222,-73.8918762207031,-86.516227722168,,
864728571.428571,-77.8148422241211,-92.0465316772461,,
864734920.634921,-73.9730224609375,-84.2519378662109,,
864741269.84127,-76.9081573486328,-84.6312713623047,,
864747619.047619,-75.1277008056641,-100.050094604492,,
864753968.253968,-79.2706985473633,-91.661979675293,,
864760317.460317,-72.6551742553711,-90.3203582763672,,
864766666.666667,-75.7633209228516,-92.2261505126953,,
864773015.873016,-75.8506698608398,-89.7164001464844,,
864779365.079365,-79.1866226196289,-94.3356323242188,,
864785714.285714,-74.2500076293945,-89.3948822021484,,
864792063.492064,-78.0484466552734,-94.5483245849609,,
864798412.698413,-79.7943344116211,-94.8370666503906,,
864804761.904762,-77.5795440673828,-93.2357177734375,,
864811111.111111,-75.6178894042969,-95.5494537353516,,
864817460.31746,-76.6763000488281,-95.4796905517578,,
864823809.52381,-74.6678466796875,-87.1890182495117,,
864830158.730159,-74.2032699584961,-89.7701416015625,,
864836507.936508,-75.8248138427734,-88.611930847168,,
